loan_amnt,int_rate,issue_d,loan_status
9300.0,11.72,2008-01-01,1.0
22000.0,12.67,2008-01-01,1.0
5000.0,13.93,2008-01-01,0.0
2450.0,10.78,2008-01-01,1.0
5500.0,9.2,2008-01-01,1.0
12000.0,9.83,2008-01-01,1.0
15000.0,11.72,2008-01-01,1.0
9000.0,9.64,2008-01-01,0.0
5000.0,13.93,2008-01-01,1.0
15000.0,14.25,2008-01-01,1.0
7200.0,8.07,2008-01-01,0.0
21000.0,12.36,2008-01-01,0.0
23000.0,12.36,2008-01-01,0.0
10000.0,13.3,2008-01-01,0.0
8525.0,10.78,2008-01-01,0.0
4000.0,12.36,2008-01-01,0.0
16800.0,12.67,2008-01-01,1.0
2750.0,9.33,2008-01-01,0.0
11000.0,12.99,2008-01-01,0.0
9600.0,10.78,2008-01-01,0.0
10000.0,11.41,2008-01-01,1.0
14000.0,10.14,2008-01-01,0.0
15000.0,9.2,2008-01-01,1.0
20000.0,14.88,2008-01-01,0.0
2225.0,7.43,2008-01-01,0.0
12000.0,13.3,2008-01-01,0.0
8000.0,11.09,2008-01-01,0.0
18000.0,8.38,2008-01-01,0.0
7200.0,11.34,2008-02-01,1.0
16000.0,14.18,2008-02-01,1.0
18000.0,13.24,2008-02-01,0.0
10000.0,13.87,2008-02-01,0.0
15000.0,17.03,2008-02-01,0.0
6000.0,7.68,2008-02-01,1.0
6000.0,8.0,2008-02-01,1.0
20500.0,11.03,2008-02-01,0.0
10000.0,11.66,2008-02-01,1.0
10000.0,13.55,2008-02-01,0.0
20000.0,9.51,2008-02-01,0.0
5100.0,8.32,2008-02-01,1.0
3000.0,13.3,2008-02-01,0.0
20000.0,12.61,2008-02-01,1.0
5000.0,8.0,2008-02-01,1.0
15000.0,12.92,2008-02-01,0.0
7000.0,9.45,2008-02-01,0.0
16000.0,10.71,2008-02-01,1.0
11800.0,8.63,2008-02-01,1.0
15000.0,11.66,2008-02-01,0.0
11000.0,13.87,2008-02-01,1.0
12000.0,13.3,2008-02-01,1.0
1450.0,9.76,2008-02-01,1.0
10000.0,9.2,2008-02-01,1.0
8000.0,10.46,2008-02-01,0.0
10425.0,9.45,2008-02-01,0.0
15600.0,10.71,2008-02-01,0.0
10800.0,9.76,2008-02-01,1.0
5000.0,10.39,2008-02-01,0.0
9900.0,8.0,2008-02-01,1.0
2500.0,9.76,2008-02-01,1.0
10000.0,13.87,2008-02-01,0.0
6000.0,8.63,2008-02-01,1.0
4000.0,10.08,2008-03-01,1.0
9500.0,11.66,2008-03-01,0.0
3000.0,7.37,2008-03-01,1.0
25000.0,14.18,2008-03-01,0.0
10000.0,8.0,2008-03-01,1.0
18000.0,9.76,2008-03-01,1.0
22000.0,11.03,2008-03-01,1.0
16400.0,11.03,2008-03-01,0.0
9000.0,11.34,2008-03-01,1.0
11000.0,11.34,2008-03-01,1.0
12000.0,9.76,2008-03-01,0.0
3500.0,8.0,2008-03-01,1.0
25000.0,16.08,2008-03-01,0.0
11200.0,11.66,2008-03-01,0.0
25000.0,9.76,2008-03-01,1.0
5000.0,12.92,2008-03-01,0.0
12000.0,11.66,2008-03-01,1.0
12000.0,11.66,2008-03-01,1.0
25000.0,13.55,2008-03-01,0.0
10600.0,11.97,2008-03-01,0.0
7000.0,12.61,2008-03-01,1.0
25000.0,10.71,2008-03-01,0.0
19600.0,15.13,2008-03-01,1.0
19275.0,14.5,2008-03-01,0.0
14700.0,12.29,2008-03-01,0.0
18500.0,10.71,2008-03-01,1.0
6650.0,9.76,2008-03-01,1.0
19200.0,12.29,2008-03-01,0.0
10000.0,8.32,2008-03-01,0.0
13200.0,13.24,2008-03-01,0.0
15000.0,10.71,2008-03-01,1.0
21000.0,10.71,2008-03-01,0.0
10000.0,9.45,2008-03-01,1.0
14000.0,9.45,2008-03-01,1.0
22000.0,9.76,2008-03-01,1.0
24000.0,12.92,2008-03-01,1.0
11000.0,9.76,2008-03-01,1.0
25000.0,12.61,2008-03-01,0.0
6300.0,11.03,2008-03-01,1.0
5000.0,9.45,2008-03-01,1.0
6000.0,7.68,2008-03-01,1.0
12200.0,12.29,2008-03-01,1.0
4500.0,9.76,2008-03-01,0.0
15000.0,9.76,2008-03-01,0.0
8800.0,12.29,2008-03-01,1.0
10000.0,10.39,2008-03-01,1.0
4000.0,9.45,2008-03-01,1.0
25000.0,17.34,2008-03-01,1.0
7200.0,9.45,2008-03-01,0.0
8000.0,8.32,2008-03-01,0.0
25000.0,10.39,2008-03-01,1.0
12800.0,9.45,2008-03-01,1.0
24500.0,12.61,2008-03-01,0.0
9000.0,10.08,2008-03-01,1.0
10000.0,13.24,2008-03-01,1.0
20000.0,12.29,2008-03-01,0.0
20000.0,12.29,2008-04-01,0.0
10000.0,9.76,2008-04-01,0.0
9600.0,11.66,2008-04-01,1.0
7200.0,11.97,2008-04-01,0.0
18000.0,10.71,2008-04-01,0.0
13000.0,11.97,2008-04-01,1.0
4000.0,11.34,2008-04-01,1.0
10000.0,11.03,2008-04-01,0.0
20000.0,10.71,2008-04-01,1.0
3200.0,7.68,2008-04-01,1.0
10000.0,13.24,2008-04-01,0.0
12000.0,11.34,2008-04-01,1.0
3300.0,11.03,2008-04-01,1.0
7675.0,13.87,2008-04-01,0.0
16775.0,11.97,2008-04-01,1.0
25000.0,13.55,2008-04-01,0.0
7500.0,11.66,2008-04-01,1.0
20000.0,11.66,2008-04-01,0.0
24000.0,16.08,2008-04-01,0.0
6600.0,10.71,2008-04-01,0.0
25000.0,17.03,2008-04-01,1.0
12000.0,10.39,2008-04-01,1.0
20000.0,9.45,2008-04-01,1.0
7500.0,12.92,2008-04-01,0.0
5000.0,11.97,2008-04-01,1.0
10000.0,8.0,2008-04-01,0.0
10000.0,10.39,2008-04-01,0.0
6000.0,10.08,2008-04-01,0.0
9600.0,11.97,2008-04-01,0.0
16000.0,13.24,2008-04-01,0.0
7000.0,11.66,2008-04-01,1.0
23000.0,11.03,2008-04-01,1.0
7500.0,12.61,2008-05-01,0.0
7500.0,10.71,2008-05-01,1.0
5000.0,10.39,2008-05-01,0.0
6000.0,8.32,2008-05-01,1.0
7500.0,11.97,2008-05-01,0.0
6825.0,8.32,2008-05-01,0.0
7500.0,13.24,2008-05-01,1.0
5000.0,13.24,2008-05-01,1.0
7000.0,8.0,2008-05-01,1.0
7500.0,13.87,2008-05-01,1.0
7500.0,13.55,2008-05-01,0.0
7500.0,11.03,2008-05-01,1.0
7500.0,12.92,2008-05-01,0.0
7000.0,11.66,2008-05-01,1.0
7500.0,8.32,2008-05-01,1.0
7500.0,10.08,2008-05-01,0.0
5050.0,12.29,2008-05-01,0.0
7500.0,10.08,2008-05-01,0.0
2500.0,11.66,2008-05-01,1.0
7500.0,10.08,2008-05-01,1.0
6600.0,11.97,2008-05-01,1.0
7100.0,8.32,2008-05-01,1.0
7500.0,10.08,2008-05-01,0.0
1000.0,7.37,2008-06-01,1.0
4800.0,9.76,2008-06-01,1.0
7500.0,11.03,2008-06-01,1.0
7200.0,10.39,2008-06-01,1.0
6300.0,12.29,2008-06-01,1.0
2100.0,12.29,2008-06-01,0.0
4500.0,8.63,2008-06-01,1.0
5000.0,12.29,2008-06-01,0.0
5000.0,7.68,2008-06-01,1.0
7500.0,11.97,2008-06-01,0.0
4200.0,8.63,2008-06-01,1.0
5000.0,11.28,2008-07-01,0.0
7000.0,11.34,2008-07-01,1.0
6000.0,11.66,2008-07-01,1.0
8500.0,15.7,2008-07-01,1.0
8000.0,10.96,2008-07-01,1.0
6500.0,13.87,2008-07-01,1.0
12000.0,13.49,2008-07-01,0.0
7500.0,11.28,2008-07-01,1.0
7500.0,8.32,2008-07-01,1.0
15000.0,10.96,2008-07-01,0.0
3000.0,12.29,2008-07-01,0.0
15000.0,11.28,2008-07-01,0.0
7500.0,9.45,2008-07-01,0.0
1500.0,10.39,2008-07-01,0.0
7500.0,8.32,2008-07-01,1.0
7500.0,8.63,2008-07-01,0.0
7500.0,9.76,2008-07-01,0.0
15000.0,12.22,2008-07-01,0.0
7500.0,11.91,2008-08-01,1.0
10000.0,10.96,2008-08-01,1.0
7500.0,11.59,2008-08-01,0.0
7500.0,11.91,2008-08-01,0.0
5500.0,8.32,2008-08-01,1.0
7500.0,10.33,2008-08-01,1.0
4900.0,10.96,2008-08-01,0.0
7500.0,10.01,2008-08-01,0.0
5000.0,12.54,2008-08-01,1.0
7000.0,15.38,2008-09-01,0.0
5600.0,8.32,2008-09-01,1.0
7500.0,12.22,2008-09-01,1.0
6000.0,12.22,2008-09-01,1.0
1000.0,11.28,2008-09-01,0.0
7500.0,11.28,2008-09-01,0.0
6000.0,7.68,2008-09-01,1.0
6000.0,11.28,2008-09-01,1.0
6000.0,11.28,2008-09-01,0.0
5000.0,11.28,2008-09-01,0.0
6500.0,13.04,2008-10-01,0.0
6000.0,8.63,2008-10-01,1.0
5000.0,11.78,2008-10-01,0.0
5400.0,9.38,2008-10-01,1.0
7500.0,10.83,2008-10-01,1.0
9500.0,8.0,2008-10-01,0.0
6000.0,9.07,2008-10-01,1.0
4700.0,12.09,2008-10-01,1.0
7500.0,10.51,2008-10-01,1.0
10000.0,11.46,2008-10-01,1.0
6000.0,13.36,2008-10-01,1.0
2500.0,10.83,2008-10-01,1.0
5000.0,10.83,2008-10-01,0.0
14400.0,13.67,2008-10-01,0.0
5000.0,8.32,2008-10-01,1.0
7500.0,11.28,2008-10-01,1.0
18000.0,12.09,2008-10-01,0.0
10500.0,9.38,2008-10-01,0.0
7500.0,9.07,2008-10-01,1.0
20000.0,15.57,2008-10-01,1.0
3200.0,7.68,2008-10-01,1.0
6000.0,12.41,2008-10-01,0.0
7500.0,10.83,2008-11-01,1.0
5000.0,12.41,2008-11-01,0.0
6500.0,11.78,2008-11-01,0.0
7500.0,12.09,2008-11-01,1.0
14500.0,11.14,2008-11-01,0.0
24000.0,18.72,2008-11-01,0.0
2400.0,10.83,2008-11-01,0.0
8550.0,14.3,2008-11-01,0.0
3000.0,10.51,2008-11-01,0.0
3000.0,7.37,2008-11-01,1.0
15000.0,11.46,2008-11-01,1.0
5500.0,9.38,2008-11-01,1.0
9450.0,10.83,2008-11-01,1.0
6000.0,10.2,2008-11-01,1.0
24500.0,11.46,2008-11-01,1.0
25000.0,13.99,2008-11-01,1.0
7800.0,12.41,2008-11-01,1.0
2500.0,11.14,2008-11-01,0.0
8000.0,10.51,2008-11-01,0.0
6500.0,13.99,2008-11-01,1.0
10000.0,11.78,2008-11-01,1.0
10000.0,11.46,2008-11-01,0.0
4500.0,10.83,2008-11-01,1.0
25000.0,13.36,2008-11-01,0.0
15000.0,15.88,2008-11-01,1.0
22000.0,13.67,2008-11-01,1.0
16000.0,15.25,2008-11-01,0.0
8000.0,12.41,2008-11-01,1.0
13500.0,10.83,2008-11-01,0.0
7000.0,15.57,2008-11-01,0.0
15000.0,10.2,2008-11-01,0.0
5000.0,7.68,2008-11-01,1.0
20000.0,13.04,2008-11-01,1.0
8400.0,11.14,2008-11-01,0.0
20000.0,12.41,2008-11-01,1.0
16000.0,11.78,2008-11-01,1.0
20000.0,10.83,2008-11-01,0.0
5100.0,10.51,2008-11-01,1.0
3700.0,11.46,2008-11-01,0.0
10000.0,14.93,2008-11-01,0.0
1800.0,11.46,2008-11-01,1.0
1800.0,12.41,2008-11-01,1.0
5000.0,11.46,2008-11-01,1.0
16750.0,12.41,2008-11-01,1.0
20000.0,11.78,2008-11-01,0.0
15000.0,13.99,2008-11-01,0.0
6000.0,12.09,2008-11-01,1.0
5100.0,8.0,2008-11-01,1.0
18000.0,9.38,2008-12-01,0.0
10000.0,12.21,2008-12-01,0.0
4800.0,9.63,2008-12-01,1.0
12000.0,12.21,2008-12-01,1.0
13000.0,11.26,2008-12-01,1.0
10750.0,16.0,2008-12-01,1.0
12000.0,12.09,2008-12-01,1.0
6400.0,6.0,2008-12-01,1.0
12000.0,9.32,2008-12-01,1.0
15000.0,11.46,2008-12-01,1.0
7200.0,10.2,2008-12-01,1.0
2000.0,8.0,2008-12-01,0.0
20000.0,12.41,2008-12-01,1.0
13500.0,9.38,2008-12-01,1.0
5000.0,13.79,2008-12-01,1.0
10000.0,9.32,2008-12-01,1.0
7500.0,13.16,2008-12-01,0.0
3000.0,13.67,2008-12-01,1.0
21000.0,13.16,2008-12-01,1.0
8600.0,11.26,2008-12-01,0.0
4000.0,11.26,2008-12-01,1.0
12000.0,10.2,2008-12-01,0.0
2000.0,8.0,2008-12-01,1.0
15000.0,12.21,2008-12-01,1.0
10000.0,14.11,2008-12-01,0.0
10800.0,12.09,2008-12-01,0.0
16000.0,17.15,2008-12-01,0.0
9600.0,9.07,2008-12-01,1.0
7000.0,14.42,2008-12-01,0.0
9000.0,11.78,2008-12-01,0.0
12600.0,9.32,2008-12-01,1.0
1500.0,12.53,2008-12-01,0.0
9600.0,9.38,2008-12-01,1.0
10000.0,14.74,2008-12-01,0.0
1500.0,11.89,2008-12-01,1.0
10000.0,15.68,2008-12-01,0.0
15000.0,14.11,2008-12-01,0.0
4000.0,13.47,2008-12-01,0.0
12000.0,14.3,2008-12-01,1.0
10000.0,9.32,2008-12-01,1.0
4800.0,12.41,2008-12-01,0.0
19200.0,12.84,2008-12-01,0.0
16000.0,12.72,2008-12-01,1.0
6000.0,11.26,2008-12-01,0.0
15000.0,13.16,2008-12-01,1.0
25000.0,17.46,2008-12-01,0.0
12000.0,13.16,2009-01-01,1.0
8000.0,13.79,2009-01-01,1.0
9600.0,11.26,2009-01-01,1.0
8500.0,12.53,2009-01-01,0.0
6575.0,8.0,2009-01-01,1.0
10000.0,9.63,2009-01-01,0.0
7500.0,15.05,2009-01-01,0.0
6700.0,14.11,2009-01-01,1.0
15000.0,9.63,2009-01-01,1.0
15000.0,11.58,2009-01-01,1.0
5000.0,10.95,2009-01-01,1.0
9600.0,14.42,2009-01-01,1.0
15000.0,10.95,2009-01-01,0.0
12000.0,12.53,2009-01-01,0.0
11000.0,12.21,2009-01-01,1.0
10800.0,14.42,2009-01-01,1.0
9000.0,9.63,2009-01-01,0.0
15000.0,9.63,2009-01-01,0.0
6000.0,14.42,2009-01-01,1.0
6600.0,8.0,2009-01-01,1.0
9000.0,9.63,2009-01-01,1.0
15000.0,14.74,2009-01-01,0.0
10000.0,14.11,2009-01-01,1.0
15000.0,14.42,2009-01-01,1.0
15000.0,11.58,2009-01-01,1.0
4000.0,8.0,2009-01-01,1.0
10000.0,9.32,2009-01-01,1.0
4200.0,15.37,2009-01-01,1.0
19000.0,15.68,2009-01-01,1.0
12000.0,11.89,2009-01-01,1.0
3000.0,9.32,2009-01-01,0.0
10000.0,14.11,2009-01-01,1.0
1875.0,8.0,2009-01-01,1.0
15000.0,10.95,2009-01-01,1.0
1600.0,12.21,2009-01-01,0.0
7500.0,14.42,2009-01-01,0.0
10000.0,15.37,2009-01-01,1.0
12000.0,13.16,2009-01-01,0.0
10000.0,9.32,2009-01-01,1.0
10000.0,14.42,2009-01-01,1.0
15000.0,11.58,2009-01-01,0.0
9000.0,11.26,2009-01-01,1.0
10000.0,9.63,2009-01-01,0.0
3000.0,11.89,2009-01-01,0.0
3600.0,12.21,2009-01-01,1.0
2000.0,12.84,2009-01-01,1.0
7500.0,15.37,2009-01-01,1.0
6000.0,9.32,2009-01-01,1.0
12000.0,14.11,2009-01-01,1.0
4000.0,15.05,2009-01-01,1.0
12000.0,13.79,2009-01-01,1.0
15000.0,11.89,2009-01-01,0.0
15000.0,14.42,2009-01-01,1.0
15000.0,10.95,2009-01-01,1.0
15000.0,9.63,2009-01-01,1.0
15000.0,9.63,2009-01-01,1.0
11500.0,12.53,2009-01-01,1.0
8000.0,11.89,2009-01-01,0.0
7500.0,16.0,2009-01-01,1.0
10800.0,12.21,2009-02-01,0.0
9000.0,15.05,2009-02-01,0.0
16000.0,13.79,2009-02-01,0.0
10000.0,13.79,2009-02-01,1.0
12000.0,12.53,2009-02-01,1.0
17500.0,12.84,2009-02-01,1.0
13000.0,13.47,2009-02-01,0.0
12000.0,9.63,2009-02-01,0.0
7000.0,13.16,2009-02-01,1.0
20000.0,14.42,2009-02-01,1.0
4000.0,13.79,2009-02-01,1.0
11500.0,12.21,2009-02-01,1.0
6000.0,7.68,2009-02-01,1.0
12000.0,15.68,2009-02-01,1.0
14000.0,14.42,2009-02-01,1.0
3350.0,9.63,2009-02-01,1.0
3500.0,7.37,2009-02-01,1.0
11050.0,14.74,2009-02-01,1.0
15000.0,16.63,2009-02-01,0.0
5300.0,14.42,2009-02-01,1.0
20000.0,13.16,2009-02-01,0.0
14400.0,16.0,2009-02-01,1.0
10000.0,9.63,2009-02-01,0.0
3000.0,9.63,2009-02-01,1.0
15000.0,13.79,2009-02-01,1.0
3000.0,12.84,2009-02-01,0.0
20000.0,14.11,2009-02-01,1.0
7000.0,13.16,2009-02-01,0.0
20000.0,15.05,2009-02-01,0.0
6000.0,12.21,2009-02-01,1.0
15000.0,16.0,2009-02-01,1.0
7500.0,15.05,2009-02-01,1.0
15000.0,13.47,2009-02-01,0.0
18000.0,12.53,2009-02-01,1.0
4500.0,16.95,2009-02-01,1.0
8500.0,15.05,2009-02-01,0.0
15000.0,16.32,2009-02-01,0.0
2000.0,15.37,2009-02-01,1.0
4000.0,13.47,2009-02-01,0.0
10000.0,13.79,2009-02-01,0.0
7200.0,9.63,2009-02-01,1.0
10000.0,11.89,2009-02-01,0.0
25000.0,12.84,2009-02-01,1.0
15000.0,13.47,2009-02-01,1.0
3500.0,13.16,2009-02-01,1.0
13000.0,16.32,2009-02-01,1.0
1000.0,9.32,2009-02-01,0.0
15000.0,15.68,2009-02-01,0.0
15000.0,13.79,2009-02-01,1.0
6000.0,7.68,2009-02-01,1.0
15000.0,15.05,2009-02-01,0.0
14000.0,13.79,2009-02-01,1.0
16000.0,16.32,2009-02-01,1.0
12000.0,16.95,2009-02-01,1.0
9325.0,12.53,2009-03-01,0.0
7000.0,13.47,2009-03-01,1.0
5250.0,9.63,2009-03-01,1.0
17000.0,13.16,2009-03-01,0.0
1000.0,8.0,2009-03-01,1.0
10000.0,14.42,2009-03-01,0.0
7000.0,9.32,2009-03-01,1.0
8000.0,10.95,2009-03-01,0.0
10000.0,12.21,2009-03-01,1.0
12000.0,12.53,2009-03-01,0.0
9250.0,13.79,2009-03-01,1.0
10000.0,13.79,2009-03-01,1.0
5200.0,12.53,2009-03-01,1.0
1000.0,7.68,2009-03-01,1.0
6000.0,14.74,2009-03-01,0.0
15000.0,16.0,2009-03-01,0.0
5500.0,8.0,2009-03-01,1.0
5000.0,9.63,2009-03-01,1.0
3500.0,16.0,2009-03-01,1.0
5775.0,9.63,2009-03-01,0.0
10000.0,9.63,2009-03-01,0.0
8500.0,14.42,2009-03-01,1.0
12000.0,17.26,2009-03-01,1.0
10000.0,13.47,2009-03-01,1.0
8500.0,13.16,2009-03-01,0.0
3500.0,12.21,2009-03-01,0.0
9000.0,14.11,2009-03-01,1.0
18000.0,12.84,2009-03-01,1.0
13000.0,12.53,2009-03-01,1.0
6000.0,8.0,2009-03-01,0.0
8700.0,13.47,2009-03-01,1.0
3000.0,8.0,2009-03-01,1.0
15250.0,15.05,2009-03-01,1.0
6850.0,13.47,2009-03-01,1.0
2000.0,15.05,2009-03-01,1.0
5000.0,9.63,2009-03-01,1.0
5000.0,13.79,2009-03-01,0.0
8400.0,13.79,2009-03-01,0.0
18000.0,16.63,2009-03-01,0.0
18225.0,9.63,2009-03-01,1.0
8725.0,9.32,2009-03-01,0.0
11000.0,9.32,2009-03-01,1.0
12000.0,13.79,2009-03-01,0.0
8500.0,14.11,2009-03-01,0.0
10000.0,15.68,2009-03-01,0.0
6000.0,13.16,2009-03-01,0.0
10000.0,12.21,2009-03-01,1.0
12000.0,14.42,2009-03-01,0.0
1500.0,12.84,2009-03-01,1.0
6000.0,12.84,2009-03-01,1.0
7000.0,12.53,2009-03-01,1.0
3000.0,14.11,2009-03-01,1.0
6000.0,12.84,2009-03-01,1.0
20000.0,12.84,2009-03-01,0.0
2000.0,13.79,2009-04-01,1.0
20000.0,14.74,2009-04-01,1.0
25000.0,13.16,2009-04-01,0.0
5000.0,12.53,2009-04-01,1.0
12000.0,13.16,2009-04-01,1.0
2500.0,7.68,2009-04-01,1.0
15000.0,16.0,2009-04-01,0.0
4500.0,9.63,2009-04-01,0.0
5600.0,12.53,2009-04-01,0.0
12000.0,7.68,2009-04-01,0.0
9400.0,16.32,2009-04-01,1.0
5000.0,8.0,2009-04-01,1.0
13000.0,16.0,2009-04-01,1.0
19650.0,15.37,2009-04-01,1.0
16000.0,12.84,2009-04-01,1.0
10000.0,9.63,2009-04-01,1.0
7000.0,9.63,2009-04-01,1.0
11250.0,13.16,2009-04-01,1.0
20000.0,12.84,2009-04-01,1.0
8000.0,9.63,2009-04-01,1.0
24000.0,12.84,2009-04-01,1.0
1500.0,14.42,2009-04-01,0.0
10000.0,9.63,2009-04-01,1.0
25000.0,13.79,2009-04-01,0.0
10000.0,16.32,2009-04-01,0.0
3500.0,14.74,2009-04-01,0.0
8000.0,7.68,2009-04-01,1.0
5000.0,13.47,2009-04-01,1.0
12500.0,11.89,2009-04-01,1.0
5000.0,14.42,2009-04-01,0.0
6000.0,9.32,2009-04-01,1.0
17400.0,13.47,2009-04-01,1.0
12000.0,14.11,2009-04-01,0.0
19750.0,14.11,2009-04-01,0.0
3500.0,12.21,2009-04-01,1.0
8500.0,11.89,2009-04-01,1.0
3000.0,15.37,2009-04-01,0.0
3500.0,12.53,2009-04-01,0.0
25000.0,12.53,2009-04-01,0.0
1500.0,14.74,2009-04-01,0.0
11000.0,15.68,2009-04-01,0.0
8000.0,7.37,2009-04-01,0.0
3200.0,8.0,2009-04-01,1.0
16500.0,9.32,2009-04-01,0.0
4750.0,12.21,2009-04-01,1.0
10000.0,14.11,2009-04-01,0.0
11200.0,14.74,2009-04-01,1.0
10000.0,9.63,2009-04-01,1.0
10000.0,12.53,2009-04-01,0.0
6000.0,12.21,2009-04-01,1.0
12800.0,14.74,2009-04-01,1.0
7200.0,11.89,2009-04-01,1.0
10000.0,14.11,2009-04-01,0.0
12000.0,12.21,2009-04-01,1.0
12000.0,9.63,2009-04-01,1.0
6000.0,8.0,2009-04-01,1.0
5000.0,12.53,2009-05-01,1.0
15250.0,15.68,2009-05-01,0.0
1200.0,9.63,2009-05-01,0.0
10000.0,12.53,2009-05-01,1.0
12000.0,9.63,2009-05-01,0.0
5600.0,11.58,2009-05-01,1.0
10000.0,13.47,2009-05-01,1.0
14500.0,13.16,2009-05-01,0.0
16000.0,12.21,2009-05-01,1.0
20000.0,10.95,2009-05-01,1.0
10400.0,12.21,2009-05-01,1.0
4000.0,12.53,2009-05-01,0.0
9000.0,14.11,2009-05-01,0.0
10000.0,14.74,2009-05-01,1.0
13000.0,10.95,2009-05-01,1.0
7000.0,13.79,2009-05-01,1.0
8500.0,12.21,2009-05-01,1.0
15000.0,10.95,2009-05-01,1.0
13650.0,14.42,2009-05-01,1.0
17000.0,11.89,2009-05-01,1.0
10000.0,13.79,2009-05-01,0.0
15200.0,12.21,2009-05-01,1.0
21600.0,11.89,2009-05-01,1.0
8000.0,9.63,2009-05-01,1.0
8000.0,12.84,2009-05-01,1.0
7000.0,8.0,2009-05-01,0.0
6000.0,11.89,2009-05-01,1.0
3000.0,13.47,2009-05-01,1.0
5000.0,12.53,2009-05-01,1.0
7600.0,12.84,2009-05-01,0.0
5500.0,12.21,2009-05-01,1.0
15250.0,11.89,2009-05-01,0.0
14000.0,9.63,2009-05-01,1.0
1500.0,13.16,2009-05-01,0.0
9000.0,12.21,2009-05-01,0.0
3200.0,13.16,2009-05-01,0.0
5500.0,14.74,2009-05-01,1.0
24000.0,11.58,2009-05-01,1.0
15000.0,13.16,2009-05-01,1.0
6000.0,11.89,2009-05-01,0.0
3000.0,13.47,2009-05-01,0.0
20000.0,12.21,2009-05-01,1.0
20000.0,13.79,2009-05-01,1.0
1600.0,12.84,2009-05-01,1.0
22400.0,14.11,2009-05-01,0.0
4500.0,10.95,2009-05-01,1.0
10000.0,11.26,2009-05-01,1.0
13000.0,14.11,2009-05-01,1.0
13000.0,12.53,2009-05-01,1.0
9600.0,11.26,2009-05-01,0.0
25000.0,11.58,2009-05-01,0.0
18000.0,16.0,2009-05-01,0.0
10000.0,11.58,2009-05-01,1.0
14500.0,9.63,2009-05-01,1.0
10000.0,10.95,2009-05-01,1.0
6600.0,13.79,2009-05-01,1.0
10000.0,16.0,2009-05-01,1.0
12000.0,11.58,2009-05-01,1.0
10400.0,9.32,2009-05-01,1.0
9000.0,11.58,2009-05-01,0.0
8000.0,13.47,2009-05-01,0.0
16000.0,12.21,2009-05-01,1.0
10000.0,8.0,2009-05-01,1.0
17000.0,13.79,2009-05-01,1.0
5800.0,9.32,2009-05-01,1.0
13000.0,13.47,2009-06-01,1.0
11500.0,11.58,2009-06-01,0.0
8000.0,12.21,2009-06-01,1.0
12500.0,9.32,2009-06-01,1.0
15000.0,11.89,2009-06-01,1.0
9200.0,11.89,2009-06-01,1.0
